회사명,직무 구분,공고명,링크,기술 스택,주요업무,자격요건
"위버스브레인
기업정보 보기",프론트엔드 개발자,프론트엔드개발자 모집(6년~10년),https://jumpit.saramin.co.kr/position/48985,"Flutter, · React, · REST API, · Git, · Redux, , , , , ","ㆍAI 기반 교육 어플리케이션의 프론트엔드 개발
ㆍFlutter 및 React를 활용한 웹/모바일 어플리케이션 개발
ㆍAPI 연동 및 데이터 관리 최적화","ㆍ프론트엔드 개발 경력 (6년 ~10년)
ㆍFlutter 또는 React 기반의 웹/모바일 앱 개발 경험
ㆍRESTful API 연동 및 상태 관리 라이브러리(Redux, Riverpod 등) 사용 경험
ㆍGit 사용 경험
ㆍ새로운 기술을 빠르게 습득할 수 있는 학습 역량"
"위버스브레인
기업정보 보기",프론트엔드 개발자,프론트엔드개발자 모집(11년~15년),https://jumpit.saramin.co.kr/position/48984,"Flutter, · React, · REST API, · Git, · Redux, , , , , ","ㆍAI 기반 교육 어플리케이션의 프론트엔드 개발
ㆍFlutter 및 React를 활용한 웹/모바일 어플리케이션 개발
ㆍAPI 연동 및 데이터 관리 최적화","ㆍ프론트엔드 개발 경력 (11년 ~15년)
ㆍFlutter 또는 React 기반의 웹/모바일 앱 개발 경험
ㆍRESTful API 연동 및 상태 관리 라이브러리(Redux, Riverpod 등) 사용 경험
ㆍGit 사용 경험
ㆍ새로운 기술을 빠르게 습득할 수 있는 학습 역량"
"코그넷나인
기업정보 보기",프론트엔드 개발자,프론트엔드개발자,https://jumpit.saramin.co.kr/position/48347,"React, · JavaScript","• 웹/모바일 애플리케이션 프론트엔드 개발
• 개발 및 업무 요건 구현
• 사용자 인터페이스 설계 및 구현","• 5년 이상의 React, Javascript에 대한 이해와 개발 경험이 있는 분
• UI/UX에 대한 이해"
"인서트
기업정보 보기",프론트엔드 개발자,프론트엔드개발자 채용,https://jumpit.saramin.co.kr/position/47367,"React, · Git, · JavaScript, · HTML5, · CSS 3","• 서비스 유지 보수 및 성능 개선
• React, Javascript, GIT
• 기존 서비스중인 앱 서비스 고도화 및 유지 보수
• 신규 서비스 앱 개발","• 웹/앱 어플리케이션 개발 및 운영 경험 3년 이상 혹은 그에 준하는 경험과 역량을 보유한 분
• 테스트코드를 작성하고, 테스트 자동화 프로세스를 개발 경험
• AWS 등 클라우드 환경에서 개발, 운영 경험
• 기획자, 디자이너 등 타 역할을 가진 동료들과 적극적으로 문제 해결을 위한 커뮤니케이션 가능한 분"
"라쿠카라차
기업정보 보기",프론트엔드 개발자,"플러터 프론트엔드개발자(주35시간, 4.5일)",https://jumpit.saramin.co.kr/position/48086,Flutter,• 앱 개발 및 운영 관리,• 플러터 개발경험 필수
"북아이피스
기업정보 보기",프론트엔드 개발자,프론트엔드 개발자,https://jumpit.saramin.co.kr/position/48196,"AWS, · JavaScript, · TypeScript, · React, , , , , , ","• 다양한 제품 개발에 참여해요. 
• 주요 서비스 플랫폼 및 솔루션에 대한 기능을 고도화해요. 
• 쏠북 마켓 solvook.com
• 저자(선생님)가 만든 자료를 판매하는 마켓 서비스예요. 
• 자료 조회부터 판매 결제까지의 프로세스를 유지보수해요.
• 사용자(학생, 선생님, 원장님, 학부모)타입에 따라 다른 기능을 제공해요. 
• 쏠북 엑스퍼트 expert.solvook.com
• 문제은행 서비스
• 파트너센터 partners.solvook.com
• 쏠북 마켓에서 판매할 자료를 등록하는 관리자 서비스예요. 
• 자료를 등록하고 판매 수익을 관리, 확인할 수 있는 대시보드 기능이 있어요. 
• 전체 기능에 대한 개편을 앞두고 있어요. 
• 신규 서비스 및 제품을 출시해요. 
• 내부 운영을 돕는 어드민 제품 기능을 고도화해요. 
• 제품 개발을 하기 위해 프로덕트팀이 함께 해요.
• MVP 설정하고 이터레이션 방식을 통해 제품을 확장히고 고도화해요. 
• FE 개발프로세스에 주도적으로 참여 조율해요. 
• PO, PD, BE, QA 및 유관 부서와 협업하여 유저 경험을 최적화하는 방식을 고민하고 실행해요. 
• 확장되는 시스템을 고려해서 FE 리팩토링을 관리하고 고도화해요.","• 최소 3년 또는 그에 준하는 모던 웹 개발 경험이 있는 분 
• SPA 개발에 능숙하신 분
• Semantic Markup에 능숙하신 분
• Git 을 능숙하게 다루는 분
• 주도적으로 문제를 발견하고 해결하는 분"
"랜딩
기업정보 보기",프론트엔드 개발자,React 프론트엔드 개발자,https://jumpit.saramin.co.kr/position/48540,"React, · TypeScript, · Next.js, · AWS, , , , ","(중요) 아래 질문에 대한 답을 ""지원이력서 혹은 첨부파일""에 포함하여 지원해주세요.
• 지원하시게 된 동기를 설명해주세요. (공백 포함 500자 내외)
• 자신의 모든 것을 올인했던 경험과 그 결과에 대해서 설명해주세요. (공백 포함 1,000자 내외)

주요업무
• Next.js와 React Flow 기반의 AI 웹 애플리케이션 개발 및 유지보수
• AWS SDK 및 Supabase를 활용한 데이터 연동 및 API 통합
• Storybook을 활용한 UI 컴포넌트 문서화 및 테스트
• 백엔드 개발자 및 디자이너와의 협업을 통한 프로젝트 진행
• 컴포넌트 기반 아키텍처 설계 및 구현
• 최신 프론트엔드 기술 동향 파악 및 적용 검토","• 3년 이내의 프론트엔드 개발 경력을 보유 하신 분
• Next.js 기반의 프로젝트 경험과 SSR에 대한 이해
• React, CSS에 재미와 흥미를 가지고, 실력과 속도에 자신있는 분
• zustand, tanstack-query등 상태 관리 라이브러리를 이용한 개발 경험이 있으신 분
• TypeScript에 대한 능숙한 사용
• 다양한 이해관계자와의 원활한 소통 능력 및 UI/UX에 대한 깊은 이해가 있으신 분
• 모호한 문제를 독립적으로 찾아내고 해결한 경험이 있으신 분
• Git을 통한 소스코드 형상관리"
"프롬프트팩토리
기업정보 보기",프론트엔드 개발자,[대구 근무] 프론트엔드 개발자,https://jumpit.saramin.co.kr/position/48559,"React, · Next.js","• 온라인 서비스 플랫폼 신규 개발 프로젝트 참여
• B2B/B2C 매칭 시스템 설계 및 구현","• 프론트엔드 개발 경험 1년 이상 보유하신 분
• React, Next.js 등 웹 프레임워크에 대한 깊은 이해도를 갖추신 분
• HTML, CSS, JavaScript, HTTP 등 웹 기술의 기본기가 탄탄하신 분
• 가독성 높은 코드 작성에 힘쓰시는 분
• 프로젝트에 대한 주인의식을 가지고 능동적으로 일하시는 분
• 포트폴리오 제출 필수 (코드의 목적, 기술 선택 근거, 문제 해결 과정이 잘 기술된 포트폴리오 우대)"
"브레인즈컴퍼니
기업정보 보기",프론트엔드 개발자,프론트엔드 개발자 (경력 5~10년),https://jumpit.saramin.co.kr/position/48125,"Java, · JavaScript, · Spring Framework, , ","• 자사 주력 솔루션 차세대 버전을 개발합니다.
• 2-4명의 프론트엔드 개발자 리딩 및 코드 리뷰를 합니다.","• 경력 : 5~10년
• 학력 : 대졸 (4년제) 졸업 이상
• Vue 혹은 React를 사용한 SPA 개발 프로젝트 경험이 필수입니다. 
• 또한 Vue 혹은 React 같은 Framework가 어떤 과정을 거쳐 웹상에서 동작하는지에 대한 충분한 이해가 필수입니다.
• JavaScript의 언어적 특성과 핵심 원리에 능통해야 합니다."
"크레스콤
기업정보 보기",프론트엔드 개발자,프론트엔드 개발자 채용,https://jumpit.saramin.co.kr/position/47609,"CSS 3, · JavaScript, · React, · Vue.js, , , , , ","[프론트엔드 개발]
• 인공지능 솔루션의 웹 기반 서비스 개발
• 클라우드 서비스의 프론트엔드 개발
• 사용자의 문제해결 편의성 증대를 위한 신규 기능 개발","• 프론트엔드 개발 실무 경험자 (3년 이상 또는 그에 준하는 실력)
• 사용자의 문제 해결을 위해 창의적이며 긍정적 사고로 해결할 수 있는 분
• 이해하고 소통하며 협업할 수 있는 분
• 리눅스, Javascript, html/css 최신 이해 및 경험자
• Vue, React, Angular 등 활용 경험자
• UI/UX 분석 설계 개발 경험자"
"세계입찰
기업정보 보기",프론트엔드 개발자,프론트엔드 개발자 경력(11~13년) 채용,https://jumpit.saramin.co.kr/position/47433,"HTML5, · C, · C#, · JavaScript, · Node.js","• 프론트엔드 서버 개발 및 운영
• 웹사이트 기능 개발 및 유지/보수","• 프론트엔드 서버 개발 경험 11년~13년 이하
• HTML, CSS, JavaScript 에 기본 지식을 갖추고 있는 분
• 적극적으로 대화할 수 있는 의사소통 능력"
"세계입찰
기업정보 보기",프론트엔드 개발자,프론트엔드 개발자 경력(8~10년) 채용,https://jumpit.saramin.co.kr/position/47432,"HTML5, · C, · C#, · JavaScript, · Node.js","• 프론트엔드 서버 개발 및 운영
• 웹사이트 기능 개발 및 유지/보수","• 프론트엔드 서버 개발 경험 8년~10년 이하
• HTML, CSS, JavaScript 에 기본 지식을 갖추고 있는 분
• 적극적으로 대화할 수 있는 의사소통 능력"
"세계입찰
기업정보 보기",프론트엔드 개발자,프론트엔드 개발자 경력(5~7년) 채용,https://jumpit.saramin.co.kr/position/47430,"HTML5, · C, · C#, · JavaScript, · Node.js","• 프론트엔드 서버 개발 및 운영
• 웹사이트 기능 개발 및 유지/보수","• 프론트엔드 서버 개발 경험 5년~7년 이하
• HTML, CSS, JavaScript 에 기본 지식을 갖추고 있는 분
• 적극적으로 대화할 수 있는 의사소통 능력"
"리비바이오
기업정보 보기",프론트엔드 개발자,프론트엔드 개발자,https://jumpit.saramin.co.kr/position/49062,"NestJS, · React, · Zustand, · Recoil","• Next.js 를 이용한 웹 애플리케이션 개발
 - 일반 사용자를 위한 프론트엔드 개발 및 운영
 - 내부 사용자를 위한 프론트엔드 개발 및 운영
• Vercel 및 AWS를 이용한 서버 배포 자동화 및 관리
• 24시간 365일 유저에게 원활한 서비스 경험 제공",• 프론트엔드개발 경력이 2년 이상 이신 분
"학교종이
기업정보 보기",프론트엔드 개발자,프론트엔드 개발자 (신입/경력),https://jumpit.saramin.co.kr/position/48523,"Angular 2, · Ionic, · TypeScript, · RxJS, , ",• 학교종이 서비스의 프론트엔드 개발 및 유지/보수,"• HTML, CSS, JS의 활용 경험 및 이해도가 있으신 분
• Angular, React, Vue.js 등 1개 이상의 프론트엔드 프레임워크 사용 경험이 있으신 분
• RESTful API 연동을 통한 SPA 개발 경험이 있으신 분
• 아키텍쳐 설계 및 제안, 코드리뷰, 테스트 등 개발 문화 개선에 적극적이신 분
• 기획 및 디자이너 등 다른 부서와 원활한 커뮤니케이션이 가능하신 분"
"위버스브레인
기업정보 보기",프론트엔드 개발자,프론트엔드개발자 모집(3년~5년),https://jumpit.saramin.co.kr/position/48986,"Flutter, · React, · REST API, · Git, · Redux, , , , , ","ㆍAI 기반 교육 어플리케이션의 프론트엔드 개발
ㆍFlutter 및 React를 활용한 웹/모바일 어플리케이션 개발
ㆍAPI 연동 및 데이터 관리 최적화","ㆍ프론트엔드 개발 경력 (3년 ~5년)
ㆍFlutter 또는 React 기반의 웹/모바일 앱 개발 경험
ㆍRESTful API 연동 및 상태 관리 라이브러리(Redux, Riverpod 등) 사용 경험
ㆍGit 사용 경험
ㆍ새로운 기술을 빠르게 습득할 수 있는 학습 역량"
"위버스브레인
기업정보 보기",프론트엔드 개발자,프론트엔드개발자 모집(6년~10년),https://jumpit.saramin.co.kr/position/48985,"Flutter, · React, · REST API, · Git, · Redux, , , , , ","ㆍAI 기반 교육 어플리케이션의 프론트엔드 개발
ㆍFlutter 및 React를 활용한 웹/모바일 어플리케이션 개발
ㆍAPI 연동 및 데이터 관리 최적화","ㆍ프론트엔드 개발 경력 (6년 ~10년)
ㆍFlutter 또는 React 기반의 웹/모바일 앱 개발 경험
ㆍRESTful API 연동 및 상태 관리 라이브러리(Redux, Riverpod 등) 사용 경험
ㆍGit 사용 경험
ㆍ새로운 기술을 빠르게 습득할 수 있는 학습 역량"
"위버스브레인
기업정보 보기",프론트엔드 개발자,프론트엔드개발자 모집(11년~15년),https://jumpit.saramin.co.kr/position/48984,"Flutter, · React, · REST API, · Git, · Redux, , , , , ","ㆍAI 기반 교육 어플리케이션의 프론트엔드 개발
ㆍFlutter 및 React를 활용한 웹/모바일 어플리케이션 개발
ㆍAPI 연동 및 데이터 관리 최적화","ㆍ프론트엔드 개발 경력 (11년 ~15년)
ㆍFlutter 또는 React 기반의 웹/모바일 앱 개발 경험
ㆍRESTful API 연동 및 상태 관리 라이브러리(Redux, Riverpod 등) 사용 경험
ㆍGit 사용 경험
ㆍ새로운 기술을 빠르게 습득할 수 있는 학습 역량"
"코그넷나인
기업정보 보기",프론트엔드 개발자,프론트엔드개발자,https://jumpit.saramin.co.kr/position/48347,"React, · JavaScript","• 웹/모바일 애플리케이션 프론트엔드 개발
• 개발 및 업무 요건 구현
• 사용자 인터페이스 설계 및 구현","• 5년 이상의 React, Javascript에 대한 이해와 개발 경험이 있는 분
• UI/UX에 대한 이해"
"인서트
기업정보 보기",프론트엔드 개발자,프론트엔드개발자 채용,https://jumpit.saramin.co.kr/position/47367,"React, · Git, · JavaScript, · HTML5, · CSS 3","• 서비스 유지 보수 및 성능 개선
• React, Javascript, GIT
• 기존 서비스중인 앱 서비스 고도화 및 유지 보수
• 신규 서비스 앱 개발","• 웹/앱 어플리케이션 개발 및 운영 경험 3년 이상 혹은 그에 준하는 경험과 역량을 보유한 분
• 테스트코드를 작성하고, 테스트 자동화 프로세스를 개발 경험
• AWS 등 클라우드 환경에서 개발, 운영 경험
• 기획자, 디자이너 등 타 역할을 가진 동료들과 적극적으로 문제 해결을 위한 커뮤니케이션 가능한 분"
"라쿠카라차
기업정보 보기",프론트엔드 개발자,"플러터 프론트엔드개발자(주35시간, 4.5일)",https://jumpit.saramin.co.kr/position/48086,Flutter,• 앱 개발 및 운영 관리,• 플러터 개발경험 필수
"북아이피스
기업정보 보기",프론트엔드 개발자,프론트엔드 개발자,https://jumpit.saramin.co.kr/position/48196,"AWS, · JavaScript, · TypeScript, · React, , , , , , ","• 다양한 제품 개발에 참여해요. 
• 주요 서비스 플랫폼 및 솔루션에 대한 기능을 고도화해요. 
• 쏠북 마켓 solvook.com
• 저자(선생님)가 만든 자료를 판매하는 마켓 서비스예요. 
• 자료 조회부터 판매 결제까지의 프로세스를 유지보수해요.
• 사용자(학생, 선생님, 원장님, 학부모)타입에 따라 다른 기능을 제공해요. 
• 쏠북 엑스퍼트 expert.solvook.com
• 문제은행 서비스
• 파트너센터 partners.solvook.com
• 쏠북 마켓에서 판매할 자료를 등록하는 관리자 서비스예요. 
• 자료를 등록하고 판매 수익을 관리, 확인할 수 있는 대시보드 기능이 있어요. 
• 전체 기능에 대한 개편을 앞두고 있어요. 
• 신규 서비스 및 제품을 출시해요. 
• 내부 운영을 돕는 어드민 제품 기능을 고도화해요. 
• 제품 개발을 하기 위해 프로덕트팀이 함께 해요.
• MVP 설정하고 이터레이션 방식을 통해 제품을 확장히고 고도화해요. 
• FE 개발프로세스에 주도적으로 참여 조율해요. 
• PO, PD, BE, QA 및 유관 부서와 협업하여 유저 경험을 최적화하는 방식을 고민하고 실행해요. 
• 확장되는 시스템을 고려해서 FE 리팩토링을 관리하고 고도화해요.","• 최소 3년 또는 그에 준하는 모던 웹 개발 경험이 있는 분 
• SPA 개발에 능숙하신 분
• Semantic Markup에 능숙하신 분
• Git 을 능숙하게 다루는 분
• 주도적으로 문제를 발견하고 해결하는 분"
"랜딩
기업정보 보기",프론트엔드 개발자,React 프론트엔드 개발자,https://jumpit.saramin.co.kr/position/48540,"React, · TypeScript, · Next.js, · AWS, , , , ","(중요) 아래 질문에 대한 답을 ""지원이력서 혹은 첨부파일""에 포함하여 지원해주세요.
• 지원하시게 된 동기를 설명해주세요. (공백 포함 500자 내외)
• 자신의 모든 것을 올인했던 경험과 그 결과에 대해서 설명해주세요. (공백 포함 1,000자 내외)

주요업무
• Next.js와 React Flow 기반의 AI 웹 애플리케이션 개발 및 유지보수
• AWS SDK 및 Supabase를 활용한 데이터 연동 및 API 통합
• Storybook을 활용한 UI 컴포넌트 문서화 및 테스트
• 백엔드 개발자 및 디자이너와의 협업을 통한 프로젝트 진행
• 컴포넌트 기반 아키텍처 설계 및 구현
• 최신 프론트엔드 기술 동향 파악 및 적용 검토","• 3년 이내의 프론트엔드 개발 경력을 보유 하신 분
• Next.js 기반의 프로젝트 경험과 SSR에 대한 이해
• React, CSS에 재미와 흥미를 가지고, 실력과 속도에 자신있는 분
• zustand, tanstack-query등 상태 관리 라이브러리를 이용한 개발 경험이 있으신 분
• TypeScript에 대한 능숙한 사용
• 다양한 이해관계자와의 원활한 소통 능력 및 UI/UX에 대한 깊은 이해가 있으신 분
• 모호한 문제를 독립적으로 찾아내고 해결한 경험이 있으신 분
• Git을 통한 소스코드 형상관리"
"프롬프트팩토리
기업정보 보기",프론트엔드 개발자,[대구 근무] 프론트엔드 개발자,https://jumpit.saramin.co.kr/position/48559,"React, · Next.js","• 온라인 서비스 플랫폼 신규 개발 프로젝트 참여
• B2B/B2C 매칭 시스템 설계 및 구현","• 프론트엔드 개발 경험 1년 이상 보유하신 분
• React, Next.js 등 웹 프레임워크에 대한 깊은 이해도를 갖추신 분
• HTML, CSS, JavaScript, HTTP 등 웹 기술의 기본기가 탄탄하신 분
• 가독성 높은 코드 작성에 힘쓰시는 분
• 프로젝트에 대한 주인의식을 가지고 능동적으로 일하시는 분
• 포트폴리오 제출 필수 (코드의 목적, 기술 선택 근거, 문제 해결 과정이 잘 기술된 포트폴리오 우대)"
